t,x
0.1875530814,0.0010976062
0.1884955592,0.0011142168
0.1894380370,0.0011309939
0.1903805148,0.0011479383
0.1913229926,0.0011650507
0.1922654704,0.0011823321
0.1932079482,0.0011997832
0.1941504260,0.0012174048
0.1950929038,0.0012351978
0.1960353816,0.0012531630
0.1969778594,0.0012713013
0.1979203372,0.0012896134
0.1988628150,0.0013081001
0.1998052928,0.0013267623
0.2007477706,0.0013456008
0.2016902484,0.0013646165
0.2026327262,0.0013838100
0.2035752040,0.0014031824
0.2045176817,0.0014227343
0.2054601595,0.0014424666
0.2064026373,0.0014623802
0.2073451151,0.0014824758
0.2082875929,0.0015027542
0.2092300707,0.0015232164
0.2101725485,0.0015438630
0.2111150263,0.0015646949
0.2120575041,0.0015857130
0.2129999819,0.0016069181
0.2139424597,0.0016283109
0.2148849375,0.0016498923
0.2158274153,0.0016716631
0.2167698931,0.0016936241
0.2177123709,0.0017157762
0.2186548487,0.0017381201
0.2195973265,0.0017606568
0.2205398043,0.0017833869
0.2214822821,0.0018063113
0.2224247599,0.0018294309
0.2233672377,0.0018527464
0.2243097155,0.0018762587
0.2252521933,0.0018999685
0.2261946711,0.0019238768
0.2271371489,0.0019479842
0.2280796267,0.0019722917
0.2290221044,0.0019968000
0.2299645822,0.0020215100
0.2309070600,0.0020464225
0.2318495378,0.0020715383
0.2327920156,0.0020968581
0.2337344934,0.0021223829
0.2346769712,0.0021481134
0.2356194490,0.0021740504
0.2365619268,0.0022001949
0.2375044046,0.0022265474
0.2384468824,0.0022531090
0.2393893602,0.0022798804
0.2403318380,0.0023068624
0.2412743158,0.0023340558
0.2422167936,0.0023614615
0.2431592714,0.0023890802
0.2441017492,0.0024169128
0.2450442270,0.0024449601
0.2459867048,0.0024732229
0.2469291826,0.0025017019
0.2478716604,0.0025303981
0.2488141382,0.0025593122
0.2497566160,0.0025884451
0.2506990938,0.0026177975
0.2516415716,0.0026473702
0.2525840493,0.0026771642
0.2535265271,0.0027071801
0.2544690049,0.0027374188
0.2554114827,0.0027678811
0.2563539605,0.0027985679
